"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 09 13:33:52 CEST 2021","Thu Sep 09 13:34:04 CEST 2021","11239","","","","","","Login to GigaStore with valid parameters",""
"passed","Thu Sep 09 13:34:04 CEST 2021","Thu Sep 09 13:34:29 CEST 2021","25895","","","","","","PoS Store - Validate navigation to New customer page",""
